anchor,positive,negative
embeddings_train_data\topwear\anchor\4b039b1b83e63c1d211aeb27d181c073.jpg,embeddings_train_data\topwear\positive\cd0d921407cbd7a2e27e05b879b3dadf.jpg,embeddings_train_data\topwear\positive\da70bbcf71981b368ff6d8aa37b463ec.jpg
embeddings_train_data\topwear\anchor\4b039b1b83e63c1d211aeb27d181c073.jpg,embeddings_train_data\topwear\positive\4b5f7e783d509a124821b5521cad354d.jpg,embeddings_train_data\topwear\positive\7726d82eec20090b20cb6913c6a6665a.jpg
embeddings_train_data\topwear\anchor\4b039b1b83e63c1d211aeb27d181c073.jpg,embeddings_train_data\topwear\positive\78ff9675f0c3826ddd67ff7c981eb7fa.jpg,embeddings_train_data\topwear\positive\a35cd17cd847cd911c1b88d124bdb887.jpg
embeddings_train_data\topwear\anchor\4b039b1b83e63c1d211aeb27d181c073.jpg,embeddings_train_data\topwear\positive\7e77fdfe8a07fb9b3883f926744e8827.jpg,embeddings_train_data\topwear\positive\218646d3b0966952d6caac35de02f283.jpg
embeddings_train_data\topwear\anchor\4b039b1b83e63c1d211aeb27d181c073.jpg,embeddings_train_data\topwear\positive\4bdfc33fda358ddb258fc969a970e61c.jpg,embeddings_train_data\topwear\positive\6ff2ae58f588238554a0481afef66209.jpg
embeddings_train_data\topwear\anchor\4b039b1b83e63c1d211aeb27d181c073.jpg,embeddings_train_data\topwear\positive\7ad5753dec67eebca95bcb518b395b74.jpg,embeddings_train_data\topwear\positive\5b4a6c6568b3adaff9f00c68dbed1a82.jpg
embeddings_train_data\topwear\anchor\4b039b1b83e63c1d211aeb27d181c073.jpg,embeddings_train_data\topwear\positive\22b0145fc64de284e9b0da905d20ec32.jpg,embeddings_train_data\topwear\positive\a83a6016fa28065f58c1b10540f0d404.jpg
embeddings_train_data\topwear\anchor\4b039b1b83e63c1d211aeb27d181c073.jpg,embeddings_train_data\topwear\positive\9ff99bef4268a56caa2b4f1c7131d1d2.jpg,embeddings_train_data\topwear\positive\65925a0169dcd729a4de7f0092a9728f.jpg
embeddings_train_data\topwear\anchor\4b039b1b83e63c1d211aeb27d181c073.jpg,embeddings_train_data\topwear\positive\218ebe35479f2cfd169f9f436ce1eff7.jpg,embeddings_train_data\topwear\positive\f797aeacfe6b8216ad0e5b0505f297e9.jpg
embeddings_train_data\topwear\anchor\4b039b1b83e63c1d211aeb27d181c073.jpg,embeddings_train_data\topwear\positive\63de54cd1da97cd0be56f2a62b2cc3f7.jpg,embeddings_train_data\topwear\positive\c6bc1546e27d0bbf68de0f6f64ea2bf8.jpg
embeddings_train_data\topwear\anchor\4b039b1b83e63c1d211aeb27d181c073.jpg,embeddings_train_data\topwear\positive\5a4d6a00dc6390251881c775a51d2741.jpg,embeddings_train_data\topwear\positive\6829cc4991933c45ad37eb3374becf17.jpg
embeddings_train_data\topwear\anchor\4b039b1b83e63c1d211aeb27d181c073.jpg,embeddings_train_data\topwear\positive\121951b70a766c3e594d44ff44d57ebc.jpg,embeddings_train_data\topwear\positive\c7f075ac2ae8ff70fdf6adc32b4734f6.jpg
embeddings_train_data\topwear\anchor\4b039b1b83e63c1d211aeb27d181c073.jpg,embeddings_train_data\topwear\positive\6869f8cdd7b7f5862c56a076fff506fa.jpg,embeddings_train_data\topwear\positive\75e5d91911cb0552b282a1ab9c794fcb.jpg
embeddings_train_data\topwear\anchor\4b039b1b83e63c1d211aeb27d181c073.jpg,embeddings_train_data\topwear\positive\819cb59ea594ab489402eef375265a87.jpg,embeddings_train_data\topwear\positive\62d8a9c5777e005225d30f89021b4cb3.jpg
embeddings_train_data\topwear\anchor\4d336fa2721f39db1397209c999519a6.jpg,embeddings_train_data\topwear\positive\8662100ffb784dedd0193e7cc9d2a05f.jpg,embeddings_train_data\topwear\positive\ef046c584867a1d1d5dee796db7a7432.jpg
embeddings_train_data\topwear\anchor\4dac729dae0b6b7dac7025783b4a1a91.jpg,embeddings_train_data\topwear\positive\d9ec20fc311ae1c7bcaf69141165e3a4.jpg,embeddings_train_data\topwear\positive\48eef1c8e053817774dd4942d6176359.jpg
embeddings_train_data\topwear\anchor\51cc0a48abcb98d7a0b38c874978708b.jpg,embeddings_train_data\topwear\positive\ddd44d465d75a527b8205cc2d4b4461b.jpg,embeddings_train_data\topwear\positive\571a8134da61694b6c5624c2e5aea67c.jpg
embeddings_train_data\topwear\anchor\5726ebc5efe95266e5d79e5f626c6d1a.jpg,embeddings_train_data\topwear\positive\1ab9e2ad168747f3d66e22d0e2b7a29a.jpg,embeddings_train_data\topwear\positive\eb44efe86fa90f63763b8ac730fb2bd9.jpg
embeddings_train_data\topwear\anchor\59160ce2d071398ffb7e43d12b63d826.jpg,embeddings_train_data\topwear\positive\ee3b01ec21d0254e65bfe781022fdc67.jpg,embeddings_train_data\topwear\positive\e28f5299e76f4d63ee4e5ffde672eefd.jpg
embeddings_train_data\topwear\anchor\59d3055df4a2ea6cce26ac48402a74a0.jpg,embeddings_train_data\topwear\positive\a6d5a7d027ab6960d6bf180ce589f736.jpg,embeddings_train_data\topwear\positive\c4e83a6bb015bd910915b4b9acc70097.jpg
embeddings_train_data\topwear\anchor\5a939eebace613b0882c3b0339d75bba.jpg,embeddings_train_data\topwear\positive\fb3ebce5ddaa8f29c34f59506b3b07eb.jpg,embeddings_train_data\topwear\positive\0e874abff3677b55fa11a8d0eb7d9774.jpg
embeddings_train_data\topwear\anchor\5c1a4dc4aa316ea6aaf30464cf1470fe.jpg,embeddings_train_data\topwear\positive\d786be317f8364eaa4ae95e0b70c9dad.jpg,embeddings_train_data\topwear\positive\2b0cf19be1fb55ea02ba2cfbd37b653b.jpg
embeddings_train_data\topwear\anchor\5e4363841668bbbc15e7680b1c90bc79.jpg,embeddings_train_data\topwear\positive\32c834818a808eb33d5635513937c33a.jpg,embeddings_train_data\topwear\positive\d7ed642c00c831fab25247021444ce78.jpg
embeddings_train_data\topwear\anchor\5e4363841668bbbc15e7680b1c90bc79.jpg,embeddings_train_data\topwear\positive\f231fe62504dc960bd9582194623e8bf.jpg,embeddings_train_data\topwear\positive\99f4913443417ce7d0516147062bbe12.jpg
embeddings_train_data\topwear\anchor\6071854483889c8355842d0cc5945338.jpg,embeddings_train_data\topwear\positive\3c48289f277731f62eac1200af72af51.jpg,embeddings_train_data\topwear\positive\c0822b5a9c2830d28bd69f6979eb1f06.jpg
embeddings_train_data\topwear\anchor\640a4555028acebc9e4abaed89438889.jpg,embeddings_train_data\topwear\positive\04605ae006c0c890057c54dd9447add0.jpg,embeddings_train_data\topwear\positive\119bd22cc7687318eaa49ad343fbdb40.jpg
embeddings_train_data\topwear\anchor\68226e4f249d8e9192159a1a4efdd191.jpg,embeddings_train_data\topwear\positive\0e921e02a052f26753ac4239087fa20f.jpg,embeddings_train_data\topwear\positive\62f3d646d357b887db35c1a9f10896b0.jpg
embeddings_train_data\topwear\anchor\699a86c798f76e09825b17c827718e2a.jpg,embeddings_train_data\topwear\positive\33a79e733c78920fb59b82ca3a27da51.jpg,embeddings_train_data\topwear\positive\b911ea70e7a1f3e6a147d29a40fa98de.jpg
embeddings_train_data\topwear\anchor\699a86c798f76e09825b17c827718e2a.jpg,embeddings_train_data\topwear\positive\919d11a0be4d6b5dcfe34c46931c1861.jpg,embeddings_train_data\topwear\positive\be12b3459f0d75b81064d0f4d4620e0b.jpg
embeddings_train_data\topwear\anchor\699a86c798f76e09825b17c827718e2a.jpg,embeddings_train_data\topwear\positive\e6f5bb22d5543c768c0b571e46c524b9.jpg,embeddings_train_data\topwear\positive\267228513e866bfde293947a7a7cf0b3.jpg
embeddings_train_data\topwear\anchor\6b1111a1f7b3a89c1addc503c0872db2.jpg,embeddings_train_data\topwear\positive\c1a8d7542c6edcab3abfd9175bd25995.jpg,embeddings_train_data\topwear\positive\17c4333a887433d816624a86f0f22ce4.jpg
embeddings_train_data\topwear\anchor\6cd3102bc4566d0e8959446640a587df.jpg,embeddings_train_data\topwear\positive\95a333d195face448be94d7cdda72e9c.jpg,embeddings_train_data\topwear\positive\e98ba989d2c3ccd59f8f02048b8c896e.jpg
embeddings_train_data\topwear\anchor\71a5b20e31fbb732797e463230ec1644.jpg,embeddings_train_data\topwear\positive\37b0a53ca05febbf54af2176abef9e31.jpg,embeddings_train_data\topwear\positive\75df096adad6a804ea017493a91a5eb4.jpg
embeddings_train_data\topwear\anchor\71a5b20e31fbb732797e463230ec1644.jpg,embeddings_train_data\topwear\positive\8b9b72a080095841133477bd4e01a066.jpg,embeddings_train_data\topwear\positive\936267fb438a618d5dd086d11bf2e1fe.jpg
embeddings_train_data\topwear\anchor\71e666029334dff6b8af07e49af96f6f.jpg,embeddings_train_data\topwear\positive\1613a5f4b14f28997708f11115b1236e.jpg,embeddings_train_data\topwear\positive\c7c3b8c42cdc61664354eac65ea08f4a.jpg
embeddings_train_data\topwear\anchor\73326474c2bf21591cd98d79317090a0.jpg,embeddings_train_data\topwear\positive\1a3805b96e4de62cabdfb2e10dcaa184.jpg,embeddings_train_data\topwear\positive\371d7ef32bc9f2a0f06d6602eaa09978.jpg
embeddings_train_data\topwear\anchor\73326474c2bf21591cd98d79317090a0.jpg,embeddings_train_data\topwear\positive\570a1e891e9fba98fc9d7cfcafd39459.jpg,embeddings_train_data\topwear\positive\c0f9ebe68d475110cce58e4090a7b265.jpg
embeddings_train_data\topwear\anchor\73326474c2bf21591cd98d79317090a0.jpg,embeddings_train_data\topwear\positive\218a04f6a16fa955e1450cd43dbba4e4.jpg,embeddings_train_data\topwear\positive\74dc8397cc9f9bd33592c745023c4a41.jpg
embeddings_train_data\topwear\anchor\791a6dbfdb36c212858b983d7a12630f.jpg,embeddings_train_data\topwear\positive\16b0f4265dc0aca883161c7adb1d5364.jpg,embeddings_train_data\topwear\positive\afb36dd71a8642dae16d95664f4402bb.jpg
embeddings_train_data\topwear\anchor\791a6dbfdb36c212858b983d7a12630f.jpg,embeddings_train_data\topwear\positive\29797316ca11848456c39c2fb79e423b.jpg,embeddings_train_data\topwear\positive\45be7935eb0e279927385596d0427695.jpg
embeddings_train_data\topwear\anchor\791a6dbfdb36c212858b983d7a12630f.jpg,embeddings_train_data\topwear\positive\198a44ac8a7bb69c19aef97cf7391276.jpg,embeddings_train_data\topwear\positive\d417b8ca09802d6650889cc1e0ad2102.jpg
embeddings_train_data\topwear\anchor\791a6dbfdb36c212858b983d7a12630f.jpg,embeddings_train_data\topwear\positive\0a32d23df694273dca17642079c8ce28.jpg,embeddings_train_data\topwear\positive\a5de79ae826c733785c9a22eae18d618.jpg
embeddings_train_data\topwear\anchor\791a6dbfdb36c212858b983d7a12630f.jpg,embeddings_train_data\topwear\positive\94c313165847860894aab1781ed87944.jpg,embeddings_train_data\topwear\positive\45ccedbad3c0f27738166e39e8af1e84.jpg
embeddings_train_data\topwear\anchor\7e503b8a98b0e81cf7b73ab280cf400d.jpg,embeddings_train_data\topwear\positive\b09a45cd4a7d2ecd2c96b2519a275893.jpg,embeddings_train_data\topwear\positive\0c1ee4da99150e07520a026bfe9b5c9a.jpg
embeddings_train_data\topwear\anchor\82eeb47f9ad882254b59f93850100dec.jpg,embeddings_train_data\topwear\positive\12d00f5c0d5efa140f877e0f3fd2ec80.jpg,embeddings_train_data\topwear\positive\646bdcb147eb82de0877a72764cefb1a.jpg
embeddings_train_data\topwear\anchor\82eeb47f9ad882254b59f93850100dec.jpg,embeddings_train_data\topwear\positive\667374e5a3baee4f38aa15fc8dde3af5.jpg,embeddings_train_data\topwear\positive\4d6f3f7a8bcffacbd5fa095b9a58046a.jpg
embeddings_train_data\topwear\anchor\82eeb47f9ad882254b59f93850100dec.jpg,embeddings_train_data\topwear\positive\9d2a2e2e160b73c00ea7f71a9f4a632f.jpg,embeddings_train_data\topwear\positive\2e35b52dbb0629784a903d1dbd7c6c46.jpg
embeddings_train_data\topwear\anchor\86ccf4644ca51765abce311b1c456ee9.jpg,embeddings_train_data\topwear\positive\0e1375226a9c4c37cca7772cb1c48c61.jpg,embeddings_train_data\topwear\positive\4381ecae219ebb9d3d3d8fc28b8c09db.jpg
embeddings_train_data\topwear\anchor\8924e0d6f22c00b722f894f670395272.jpg,embeddings_train_data\topwear\positive\5fb59fe3ed3fcc8a9010db68dd670aff.jpg,embeddings_train_data\topwear\positive\ca939a2693a2c70639fd8ba8c3b4c0c2.jpg
embeddings_train_data\topwear\anchor\8bf4f657ad32de5310b4b3225e0947d5.jpg,embeddings_train_data\topwear\positive\7fb9e80b10787a17a11c365aae7b72c8.jpg,embeddings_train_data\topwear\positive\2f74f1f8db5abd83366a82fbeb42b464.jpg
embeddings_train_data\topwear\anchor\8d47bf84ab53e66349f2bf0a507120e6.jpg,embeddings_train_data\topwear\positive\57f2c255740f01cb26e47f211fa97b9a.jpg,embeddings_train_data\topwear\positive\4910af9d61f5dd1835ea35fc9dfa69ba.jpg
embeddings_train_data\topwear\anchor\8db7b4d372ef98948ac5f03f6bf58a75.jpg,embeddings_train_data\topwear\positive\85e298066d9eca00a2a2a61222f987d2.jpg,embeddings_train_data\topwear\positive\b924bda84c8855d8987ec2cf1b9c5aff.jpg
embeddings_train_data\topwear\anchor\8fbcd644c21cc2a4a950bb00ecb1dd20.jpg,embeddings_train_data\topwear\positive\4d1486cb17bf322a1ca5e9aa43170be4.jpg,embeddings_train_data\topwear\positive\99da860ca7c2d5a4522046c4b3daf9fc.jpg
embeddings_train_data\topwear\anchor\8fbcd644c21cc2a4a950bb00ecb1dd20.jpg,embeddings_train_data\topwear\positive\19c21faebdbebf80f386e4f0fb92f98b.jpg,embeddings_train_data\topwear\positive\aff342d927396cfbc4924abfb5d002e7.jpg
embeddings_train_data\topwear\anchor\8fc379cd6c93a06e89d6a3150dd23ea4.jpg,embeddings_train_data\topwear\positive\ca2ce8efb7ba45e1e338c7b23cddf177.jpg,embeddings_train_data\topwear\positive\90cc11c98190cafb93d81aa1ec6ca426.jpg
embeddings_train_data\topwear\anchor\8fc379cd6c93a06e89d6a3150dd23ea4.jpg,embeddings_train_data\topwear\positive\82a76ed0783bfc632eeb5c65a525d247.jpg,embeddings_train_data\topwear\positive\16f7e93f168818fa2117caa5bb6e610b.jpg
embeddings_train_data\topwear\anchor\8ffe2b5442b0b2b5ac67fda83ff05652.jpg,embeddings_train_data\topwear\positive\5f9e07587bec2c2cbc87e0f56578f964.jpg,embeddings_train_data\topwear\positive\d0d8025cfbe217219a9058c6e977b0f6.jpg
embeddings_train_data\topwear\anchor\94328f8017f071623c7095d0a99ee606.jpg,embeddings_train_data\topwear\positive\0083c7f6bfdbf82bbece9cd44f036fe4.jpg,embeddings_train_data\topwear\positive\c618ba44c9bbc96b2bed3251a4edf51c.jpg
embeddings_train_data\topwear\anchor\95f8f7b68fde44173f1825654108e365.jpg,embeddings_train_data\topwear\positive\cee42cc0c2789b942bde15ac809955da.jpg,embeddings_train_data\topwear\positive\9209909c06885c77d308e8f05bd0789b.jpg
embeddings_train_data\topwear\anchor\95f8f7b68fde44173f1825654108e365.jpg,embeddings_train_data\topwear\positive\cb21ef31fe4254f6f38aa469e4602147.jpg,embeddings_train_data\topwear\positive\a94bf04456c325c42280287915901c12.jpg
embeddings_train_data\topwear\anchor\9a42a6aa74be1b8ba5c4ee1ddea27e6b.jpg,embeddings_train_data\topwear\positive\a9cf88a7c39b2f91e2ea00a018d70ef1.jpg,embeddings_train_data\topwear\positive\393c5ec8b9c56a3530a5d4e2776dd21b.jpg
embeddings_train_data\topwear\anchor\9ec37afb2ff1d108bb6fbcf8029e3196.jpg,embeddings_train_data\topwear\positive\ae8340b8c0b58fed730462fa4fd81b20.jpg,embeddings_train_data\topwear\positive\27e951208ef0d5ddc3c725846729af00.jpg
embeddings_train_data\topwear\anchor\9f3a8f6d7e87e76cb2169deade5eb822.jpg,embeddings_train_data\topwear\positive\d418271c5d2be64cac18744ead385082.jpg,embeddings_train_data\topwear\positive\017bb9d736db91d13373b39e22075275.jpg
embeddings_train_data\topwear\anchor\a111dbb6b438cae1cde64fa87e577ff7.jpg,embeddings_train_data\topwear\positive\f91c6c858afd100ce292f84461860318.jpg,embeddings_train_data\topwear\positive\85160e3568f77e4f3f5079cb922e04d5.jpg
embeddings_train_data\topwear\anchor\a1cb3effcc234457f7efc6146a40e895.jpg,embeddings_train_data\topwear\positive\451c56782055d5353b0f99070fe170c0.jpg,embeddings_train_data\topwear\positive\2df2e3ea38441b07a056b4022810de94.jpg
embeddings_train_data\topwear\anchor\a44bd7721ee3124b5d6f2369ec992eb4.jpg,embeddings_train_data\topwear\positive\7e604c6bd195c4549336edc61454a2b6.jpg,embeddings_train_data\topwear\positive\7294e661fe0ecccc70e4212edd66cfc6.jpg
embeddings_train_data\topwear\anchor\a83196c8041de831807c43f197753a10.jpg,embeddings_train_data\topwear\positive\8d24ed0b5189b22146e29069306b928d.jpg,embeddings_train_data\topwear\positive\273d26c4cb2e3f44074135503d05348e.jpg
embeddings_train_data\topwear\anchor\a8e4da6afd2c4eb3648ddaa7f435dc2e.jpg,embeddings_train_data\topwear\positive\4ae163aa21722afc7f1e9ce397cbf076.jpg,embeddings_train_data\topwear\positive\72bd96e5f02001a9f1a99bbbb929c6d9.jpg
embeddings_train_data\topwear\anchor\a92bcc78ad2c3129a3d3a1356b609095.jpg,embeddings_train_data\topwear\positive\4fb0bf1d8f54213e537b19dd0377bc1c.jpg,embeddings_train_data\topwear\positive\e05bde7a71081813c08e591099a421c0.jpg
embeddings_train_data\topwear\anchor\a92bcc78ad2c3129a3d3a1356b609095.jpg,embeddings_train_data\topwear\positive\d58a8b1cbaf1f96948e286380afa3c18.jpg,embeddings_train_data\topwear\positive\7afdfb4c90edd351186b52e64f34d16d.jpg
embeddings_train_data\topwear\anchor\a985f4affda663b6a9f5f2d2b646e5f9.jpg,embeddings_train_data\topwear\positive\b0b5f5176c05f2ea2bb018c6d0894c37.jpg,embeddings_train_data\topwear\positive\0ae52345c5120b98986d2a77effc1769.jpg
embeddings_train_data\topwear\anchor\ac102203ebba3132a3309c22452f29d0.jpg,embeddings_train_data\topwear\positive\27e951208ef0d5ddc3c725846729af00.jpg,embeddings_train_data\topwear\positive\c9774258864126bf6432ca1ad5dfcf02.jpg
embeddings_train_data\topwear\anchor\b0086f79f8bb182f39f1bad4c2a1fe18.jpg,embeddings_train_data\topwear\positive\24790add789c19f13c91eeac43e211d4.jpg,embeddings_train_data\topwear\positive\27e951208ef0d5ddc3c725846729af00.jpg
embeddings_train_data\topwear\anchor\b0086f79f8bb182f39f1bad4c2a1fe18.jpg,embeddings_train_data\topwear\positive\acc9d73b6436d654e4fd1efc35bb0f25.jpg,embeddings_train_data\topwear\positive\4a0b01601306655d3c495f219c6d96f0.jpg
embeddings_train_data\topwear\anchor\b0086f79f8bb182f39f1bad4c2a1fe18.jpg,embeddings_train_data\topwear\positive\8f55c7608bde89265275e987ab01da49.jpg,embeddings_train_data\topwear\positive\40bc6ba9d212ef5bd6bd32a3a05c6cdd.jpg
embeddings_train_data\topwear\anchor\b2aff56efc313c5e5292c3d7182a434b.jpg,embeddings_train_data\topwear\positive\88611510f321dfb111b798ce4863c7b1.jpg,embeddings_train_data\topwear\positive\c3fefb93da262e871acd20cc4273a3ba.jpg
embeddings_train_data\topwear\anchor\b4b8101657d04fd9397f11dbe25b5a66.jpg,embeddings_train_data\topwear\positive\8396a3290f3d36431b14653d696879f1.jpg,embeddings_train_data\topwear\positive\883d8cafa53acb89e59831dbd9b9b960.jpg
embeddings_train_data\topwear\anchor\b5f004b1dcf7663f01d06a047164d7e1.jpg,embeddings_train_data\topwear\positive\50665ed1947a1d83127f3670123cc7e2.jpg,embeddings_train_data\topwear\positive\bcbc88080dccbfe7ab2a98f08b7c4663.jpg
embeddings_train_data\topwear\anchor\b5f004b1dcf7663f01d06a047164d7e1.jpg,embeddings_train_data\topwear\positive\273c2922a76b8c87319dace94c9dbc11.jpg,embeddings_train_data\topwear\positive\b1d7389c4388581361d53d431fcc60b6.jpg
embeddings_train_data\topwear\anchor\b6e94e399bb4e2176c7662fb02007e63.jpg,embeddings_train_data\topwear\positive\48969458c416d8627222fe6b1e1e1bda.jpg,embeddings_train_data\topwear\positive\6ef4d21d304ecd5f224b793b3675edda.jpg
embeddings_train_data\topwear\anchor\b6e94e399bb4e2176c7662fb02007e63.jpg,embeddings_train_data\topwear\positive\0b4ff9a41e17d127ff8bd3a4340fe250.jpg,embeddings_train_data\topwear\positive\b0d9423ad2c958e7d77e96ccf16a07c7.jpg
embeddings_train_data\topwear\anchor\b8f5ab5213c40565118a484d495a8222.jpg,embeddings_train_data\topwear\positive\6f0483c39fa848f95d1b6762d17fc324.jpg,embeddings_train_data\topwear\positive\f8c4350d28e74fec3d1c470b73e6cb3f.jpg
embeddings_train_data\topwear\anchor\ba05e9c7b32e407bcf9ff2e0c5203616.jpg,embeddings_train_data\topwear\positive\840cebf35efc02cc637ea4d073ed5339.jpg,embeddings_train_data\topwear\positive\5221c964936b87451dacc4040afa8719.jpg
embeddings_train_data\topwear\anchor\bce4ed3bb2317c03dcc250bcd255bea1.jpg,embeddings_train_data\topwear\positive\b565f32effb9800d40be9297b6a222ee.jpg,embeddings_train_data\topwear\positive\48461ef610f454a6dbad2dddd967f5ef.jpg
embeddings_train_data\topwear\anchor\bd117e21e03c4a588132549b816fed59.jpg,embeddings_train_data\topwear\positive\5e49676c0be2fe2e116f1104320c55b4.jpg,embeddings_train_data\topwear\positive\e64e4c7fcddedeabd684064a068ad968.jpg
embeddings_train_data\topwear\anchor\bd117e21e03c4a588132549b816fed59.jpg,embeddings_train_data\topwear\positive\630a019b363387b262d6845190986de3.jpg,embeddings_train_data\topwear\positive\a3014f6983bb4bcd6fa6b35f3febb7ed.jpg
embeddings_train_data\topwear\anchor\be3d78be0d475e212ba96a57e2141ce6.jpg,embeddings_train_data\topwear\positive\52bf7957423a1c66db2558e105fca101.jpg,embeddings_train_data\topwear\positive\8b7a67d680c5bc66f5fc33fbe0455edb.jpg
embeddings_train_data\topwear\anchor\bee7613be1180919acfced8b13e9d14d.jpg,embeddings_train_data\topwear\positive\139334ba43f8e80e2fc2ff0434b9d397.jpg,embeddings_train_data\topwear\positive\b6d7b43c89d9d13ff8251ea043dfb17c.jpg
embeddings_train_data\topwear\anchor\bee7613be1180919acfced8b13e9d14d.jpg,embeddings_train_data\topwear\positive\c4ac51962b8638bac129da7623ad12b2.jpg,embeddings_train_data\topwear\positive\670c9e349f024e4ea3c3abf8d224f611.jpg
embeddings_train_data\topwear\anchor\bee7613be1180919acfced8b13e9d14d.jpg,embeddings_train_data\topwear\positive\0c6430ef6e46935c1edbfbb08f9add6a.jpg,embeddings_train_data\topwear\positive\62f3d646d357b887db35c1a9f10896b0.jpg
embeddings_train_data\topwear\anchor\c19bcae3244f31d976f64cb785c8bd38.jpg,embeddings_train_data\topwear\positive\a98a595ac8c60659451196c0ffd79f33.jpg,embeddings_train_data\topwear\positive\751620b86beaf0dd5efb3bc33115202a.jpg
embeddings_train_data\topwear\anchor\c66962d2a57475f1e70e4037b7222a8e.jpg,embeddings_train_data\topwear\positive\a20fff59b354d1099fe8bc0b8091c490.jpg,embeddings_train_data\topwear\positive\13257e18d719c755497ddca5363e12e2.jpg
embeddings_train_data\topwear\anchor\c66962d2a57475f1e70e4037b7222a8e.jpg,embeddings_train_data\topwear\positive\f1479796b3e816b6a6afac0ed19bef49.jpg,embeddings_train_data\topwear\positive\caae82b450cac8743a1a7d696ba17c2c.jpg
embeddings_train_data\topwear\anchor\cf1d7a207b75fb011ea7034d00d29c5f.jpg,embeddings_train_data\topwear\positive\9936052fb15d371613a52d4275e252b7.jpg,embeddings_train_data\topwear\positive\ab230a694cd8650ab16666819a8e3be2.jpg
embeddings_train_data\topwear\anchor\d0990225d4718592dee08c1e6ab2694d.jpg,embeddings_train_data\topwear\positive\488e05aea8ba2dde345ca1f5aaeab3f0.jpg,embeddings_train_data\topwear\positive\6c594be6d1d2175e37cd7b60c8abf0a6.jpg
embeddings_train_data\topwear\anchor\d205357196325d28f205f2873b9d663c.jpg,embeddings_train_data\topwear\positive\82b80d8ceafd87d121af9c1a0deb2916.jpg,embeddings_train_data\topwear\positive\c0822b5a9c2830d28bd69f6979eb1f06.jpg
embeddings_train_data\topwear\anchor\d9fba0a3e1e9bd21289d0bc9a848f78f.jpg,embeddings_train_data\topwear\positive\5baa5049d08e6073564f768ab7ca2916.jpg,embeddings_train_data\topwear\positive\c42ce0e9d23e60afbe325eda709d2b13.jpg
embeddings_train_data\topwear\anchor\d9fba0a3e1e9bd21289d0bc9a848f78f.jpg,embeddings_train_data\topwear\positive\bf547d9adaac522bb0f56a31bed1fc64.jpg,embeddings_train_data\topwear\positive\36dcc043eb011118a7c8f30c3f5b8d24.jpg
embeddings_train_data\topwear\anchor\de42bcd781b4a26c094353c2bd125263.jpg,embeddings_train_data\topwear\positive\b86c149f21216e37534f25d113d46a18.jpg,embeddings_train_data\topwear\positive\9b83733994f3dceb876a880585726ac0.jpg
embeddings_train_data\topwear\anchor\dedd4ded3cd16865e1b2d43e38bd61ea.jpg,embeddings_train_data\topwear\positive\2f471e6772d4dc31185f36c8476d05ed.jpg,embeddings_train_data\topwear\positive\d786be317f8364eaa4ae95e0b70c9dad.jpg
embeddings_train_data\topwear\anchor\df8a245babcce4d364b95f960e221b84.jpg,embeddings_train_data\topwear\positive\35dfc50468c2d7b1e8916369d4dd59bb.jpg,embeddings_train_data\topwear\positive\f05d3678b604640bc3c217f5f544bf2b.jpg
embeddings_train_data\topwear\anchor\e1ebaed23fa4f1d169b05051805316db.jpg,embeddings_train_data\topwear\positive\c31aa68f9bf7e114f0478c6d2276ad45.jpg,embeddings_train_data\topwear\positive\0f1df4217f6bca85a10f870900c7700a.jpg
embeddings_train_data\topwear\anchor\e258417de9d5c3438e75ad88116f35fb.jpg,embeddings_train_data\topwear\positive\3dbe3f8f7bc36bbdb5fdb66912b4a25c.jpg,embeddings_train_data\topwear\positive\998c1a741f75dfee67a6da9a2fa966e8.jpg
embeddings_train_data\topwear\anchor\e55071f45f92803e0e9087da35b51582.jpg,embeddings_train_data\topwear\positive\2e332ee47c9e1f3877e4b131bc1083fd.jpg,embeddings_train_data\topwear\positive\128e0f558ef248fe5fa04ba4da9c3743.jpg
embeddings_train_data\topwear\anchor\e5c85c2614fca3549d6332ca00cdb5fc.jpg,embeddings_train_data\topwear\positive\063110554ff68e2c4d3b6c0845b4fb56.jpg,embeddings_train_data\topwear\positive\abeabfe9f730f7b3807822e5f6c05efc.jpg
embeddings_train_data\topwear\anchor\e635afed036b233972e3e1f7f76dd94c.jpg,embeddings_train_data\topwear\positive\65c25ac175da33fd12954f6baf4c32e3.jpg,embeddings_train_data\topwear\positive\1c936ce4a9f7e3a524f5ca1ac79d2b43.jpg
embeddings_train_data\topwear\anchor\e635afed036b233972e3e1f7f76dd94c.jpg,embeddings_train_data\topwear\positive\11ee8ff51894b25abffa072d58618a18.jpg,embeddings_train_data\topwear\positive\e8ce9b2de020e40ba2cb784e192e71c6.jpg
embeddings_train_data\topwear\anchor\e7656b6063368be912c0a8639de46f81.jpg,embeddings_train_data\topwear\positive\02421a933350b9b30867b22865b1f5f0.jpg,embeddings_train_data\topwear\positive\f03b3c2d760c3b98229a3e80b8828c88.jpg
embeddings_train_data\topwear\anchor\ea3e5b30bdb7f77d390af775db8b7aeb.jpg,embeddings_train_data\topwear\positive\4dc7f25617fbbc6e28114122068d7364.jpg,embeddings_train_data\topwear\positive\e171bbd9efc33e65bd8403cdd6e4db53.jpg
embeddings_train_data\topwear\anchor\eb3a8c789b9f6d2fc02d1a324df6e6fb.jpg,embeddings_train_data\topwear\positive\cbf39ea5fdbe33ce584a44585d5237eb.jpg,embeddings_train_data\topwear\positive\da1132e421486dd2a9df4c3d782317d2.jpg
